;track;artist;genre;time;date.entered;date.peaked;Week;Ranking;New_time;timedelta;entered_to_datetime;peaked_to_datetime
25;Thong Song;Sisqo;Rock;4:05;2000-01-29;2000-05-20;1;74;0:4:05;0 days 00:04:05.000000000;2000-01-29;2000-05-20
26;I Turn To You;Aguilera, Christina;Rock;4:00;2000-04-15;2000-07-01;1;50;0:4:00;0 days 00:04:00.000000000;2000-04-15;2000-07-01
27;My Love Is Your Love;Houston, Whitney;Rock;4:16;1999-09-04;2000-01-08;1;81;0:4:16;0 days 00:04:16.000000000;1999-09-04;2000-01-08
28;I Wanna Know;Joe;Rock;4:57;2000-01-01;2000-07-01;1;94;0:4:57;0 days 00:04:57.000000000;2000-01-01;2000-07-01
29;Get It On.. Tonite;Jordan, Montell;Rap;4:34;1999-10-23;2000-02-12;1;92;0:4:34;0 days 00:04:34.000000000;1999-10-23;2000-02-12
30;Bye Bye Bye;N'Sync;Rock;3:15;2000-01-29;2000-04-15;1;42;0:3:15;0 days 00:03:15.000000000;2000-01-29;2000-04-15
31;The Real Slim Shady;Eminem;Rap;4:42;2000-05-06;2000-06-24;1;70;0:4:42;0 days 00:04:42.000000000;2000-05-06;2000-06-24
32;Most Girls;Pink;Rock;4:06;2000-08-12;2000-11-25;1;85;0:4:06;0 days 00:04:06.000000000;2000-08-12;2000-11-25
33;Gotta Tell You;Mumba, Samantha;Rock;3:19;2000-09-09;2000-12-09;1;85;0:3:19;0 days 00:03:19.000000000;2000-09-09;2000-12-09
34;Bring It All To Me;Blaque;Pop;3:46;1999-10-23;2000-01-22;1;73;0:3:46;0 days 00:03:46.000000000;1999-10-23;2000-01-22
35;Hot Boyz;"Elliott, Missy ""Misdemeanor""";Rap;3:51;1999-11-27;2000-01-08;1;36;0:3:51;0 days 00:03:51.000000000;1999-11-27;2000-01-08
36;I Try;Gray, Macy;Rock;3:52;2000-02-19;2000-05-20;1;68;0:3:52;0 days 00:03:52.000000000;2000-02-19;2000-05-20
37;This I Promise You;N'Sync;Rock;4:23;2000-09-30;2000-12-02;1;68;0:4:23;0 days 00:04:23.000000000;2000-09-30;2000-12-02
38;No More;Ruff Endz;Rock;3:56;2000-07-01;2000-09-02;1;76;0:3:56;0 days 00:03:56.000000000;2000-07-01;2000-09-02
39;Show Me The Meaning Of Being Lonely;Backstreet Boys, The;Rock;3:54;2000-01-01;2000-03-18;1;74;0:3:54;0 days 00:03:54.000000000;2000-01-01;2000-03-18
40;Absolutely (Story Of A Girl);Nine Days;Rock;3:09;2000-05-06;2000-07-22;1;85;0:3:09;0 days 00:03:09.000000000;2000-05-06;2000-07-22
41;That's The Way It Is;Dion, Celine;Rock;4:03;1999-11-13;2000-03-04;1;74;0:4:03;0 days 00:04:03.000000000;1999-11-13;2000-03-04
42;All The Small Things;Blink-182;Rock;2:52;1999-12-04;2000-02-19;1;89;0:2:52;0 days 00:02:52.000000000;1999-12-04;2000-02-19
43;Blue (Da Ba Dee);Eiffel 65;Electronica;3:29;1999-12-11;2000-01-29;1;67;0:3:29;0 days 00:03:29.000000000;1999-12-11;2000-01-29
44;Bag Lady;Badu, Erkyah;Rock;5:03;2000-08-19;2000-10-07;1;67;0:5:03;0 days 00:05:03.000000000;2000-08-19;2000-10-07
45;There U Go;Pink;Rock;3:23;2000-03-04;2000-04-08;1;25;0:3:23;0 days 00:03:23.000000000;2000-03-04;2000-04-08
46;Higher;Creed;Rock;5:16;1999-09-11;2000-07-22;1;81;0:5:16;0 days 00:05:16.000000000;1999-09-11;2000-07-22
47;(Hot S**t) Country Grammar;Nelly;Rap;4:17;2000-04-29;2000-09-16;1;100;0:4:17;0 days 00:04:17.000000000;2000-04-29;2000-09-16
48;Wifey;Next;Rock;4:03;2000-05-27;2000-09-09;1;85;0:4:03;0 days 00:04:03.000000000;2000-05-27;2000-09-09
49;Auld Lang Syne (The Millenium Mix);Kenny G;Jazz;7:50;1999-12-25;2000-01-08;1;89;0:7:50;0 days 00:07:50.000000000;1999-12-25;2000-01-08
50;It Feels So Good;Sonique;Rock;3:48;2000-01-22;2000-04-22;1;67;0:3:48;0 days 00:03:48.000000000;2000-01-22;2000-04-22
51;Oops!.. I Did It Again;Spears, Britney;Rock;3:30;2000-04-22;2000-06-10;1;67;0:3:30;0 days 00:03:30.000000000;2000-04-22;2000-06-10
52;Shape Of My Heart;Backstreet Boys, The;Rock;3:49;2000-10-14;2000-12-02;1;39;0:3:49;0 days 00:03:49.000000000;2000-10-14;2000-12-02
53;Wonderful;Everclear;Rock;4:30;2000-07-08;2000-09-30;1;77;0:4:30;0 days 00:04:30.000000000;2000-07-08;2000-09-30
54;Between Me And You;Ja Rule;Rap;4:05;2000-09-16;2000-11-18;1;85;0:4:05;0 days 00:04:05.000000000;2000-09-16;2000-11-18
55;I Need You;Rimes, LeAnn;Country;3:42;2000-05-27;2000-08-12;1;77;0:3:42;0 days 00:03:42.000000000;2000-05-27;2000-08-12
56;Then The Morning Comes;Smash Mouth;Rock;3:04;1999-10-30;2000-01-29;1;83;0:3:04;0 days 00:03:04.000000000;1999-10-30;2000-01-29
57;I Just Wanna Love U (Give It 2 Me);Jay-Z;Rap;3:50;2000-10-28;2000-12-30;1;58;0:3:50;0 days 00:03:50.000000000;2000-10-28;2000-12-30
58;Let's Get Married;Jagged Edge;Rock;4:23;2000-05-06;2000-07-29;1;77;0:4:23;0 days 00:04:23.000000000;2000-05-06;2000-07-29
59;Take A Picture;Filter;Rock;4:23;1999-11-27;2000-02-05;1;91;0:4:23;0 days 00:04:23.000000000;1999-11-27;2000-02-05
60;She Bangs;Martin, Ricky;Latin;4:02;2000-10-07;2000-12-02;1;38;0:4:02;0 days 00:04:02.000000000;2000-10-07;2000-12-02
61;Shake Ya Ass;Mystikal;Rap;4:46;2000-08-12;2000-10-28;1;97;0:4:46;0 days 00:04:46.000000000;2000-08-12;2000-10-28
62;Back Here;BBMak;Rock;3:35;2000-04-29;2000-07-29;1;99;0:3:35;0 days 00:03:35.000000000;2000-04-29;2000-07-29
63;From The Bottom Of My Broken Heart;Spears, Britney;Rock;4:30;2000-01-29;2000-02-26;1;76;0:4:30;0 days 00:04:30.000000000;2000-01-29;2000-02-26
64;Never Let You Go;Third Eye Blind;Rock;3:57;2000-01-22;2000-04-01;1;65;0:3:57;0 days 00:03:57.000000000;2000-01-22;2000-04-01
65;Otherside;Red Hot Chili Peppers;Rock;4:13;2000-02-12;2000-05-27;1;80;0:4:13;0 days 00:04:13.000000000;2000-02-12;2000-05-27
66;Liar;Profyle;R&B;3:57;2000-09-16;2000-10-28;1;52;0:3:57;0 days 00:03:57.000000000;2000-09-16;2000-10-28
67;Pinch Me;Barenaked Ladies;Rock;3:46;2000-09-09;2000-11-25;1;77;0:3:46;0 days 00:03:46.000000000;2000-09-09;2000-11-25
68;He Can't Love U;Jagged Edge;Rock;3:30;1999-12-11;2000-01-08;1;54;0:3:30;0 days 00:03:30.000000000;1999-12-11;2000-01-08
69;Wobble Wobble;504 Boyz;Rap;3:35;2000-04-15;2000-05-06;1;57;0:3:35;0 days 00:03:35.000000000;2000-04-15;2000-05-06
70;Desert Rose;Sting;Rock;3:52;2000-05-13;2000-08-26;1;98;0:3:52;0 days 00:03:52.000000000;2000-05-13;2000-08-26
71;Big Pimpin';Jay-Z;Rap;3:55;2000-04-22;2000-07-08;1;69;0:3:55;0 days 00:03:55.000000000;2000-04-22;2000-07-08
72;Only God Knows Why;Kid Rock;Rock;5:27;2000-02-19;2000-04-15;1;63;0:5:27;0 days 00:05:27.000000000;2000-02-19;2000-04-15
73;Learn To Fly;Foo Fighters;Rock;3:55;1999-10-16;2000-01-22;1;80;0:3:55;0 days 00:03:55.000000000;1999-10-16;2000-01-22
74;Goodbye Earl;Dixie Chicks, The;Country;4:19;2000-03-18;2000-05-06;1;40;0:4:19;0 days 00:04:19.000000000;2000-03-18;2000-05-06
75;Dancin';Guy;R&B;4:08;1999-12-18;2000-01-01;1;46;0:4:08;0 days 00:04:08.000000000;1999-12-18;2000-01-01
76;Bounce With Me;Lil Bow Wow;Rap;3:22;2000-08-19;2000-09-16;1;48;0:3:22;0 days 00:03:22.000000000;2000-08-19;2000-09-16
77;Swear It Again;Westlife;Rock;4:07;2000-04-01;2000-07-01;1;96;0:4:07;0 days 00:04:07.000000000;2000-04-01;2000-07-01
78;Meet Virginia;Train;Rock;3:55;1999-10-09;2000-01-22;1;76;0:3:55;0 days 00:03:55.000000000;1999-10-09;2000-01-22
79;I Wish;Thomas, Carl;Rock;3:50;2000-03-25;2000-05-13;1;75;0:3:50;0 days 00:03:50.000000000;2000-03-25;2000-05-13
80;This Time Around;Hanson;Country;4:14;2000-04-22;2000-05-06;1;22;0:4:14;0 days 00:04:14.000000000;2000-04-22;2000-05-06
81;I Think I'm In Love With You;Simpson, Jessica;Pop;3:32;2000-07-01;2000-08-12;1;63;0:3:32;0 days 00:03:32.000000000;2000-07-01;2000-08-12
82;What's Your Fantasy;Ludacris;Rap;4:16;2000-09-30;2000-12-16;1;89;0:4:16;0 days 00:04:16.000000000;2000-09-30;2000-12-16
83;Callin' Me;Lil' Zane;Rap;3:43;2000-07-29;2000-09-02;1;83;0:3:43;0 days 00:03:43.000000000;2000-07-29;2000-09-02
84;Don't Say You Love Me;M2M;Pop;3:41;1999-11-20;2000-01-08;1;72;0:3:41;0 days 00:03:41.000000000;1999-11-20;2000-01-08
85;Faded;SoulDecision;Rock;3:25;2000-07-08;2000-09-09;1;94;0:3:25;0 days 00:03:25.000000000;2000-07-08;2000-09-09
86;Yes!;Brock, Chad;Country;3:22;2000-04-08;2000-07-01;1;90;0:3:22;0 days 00:03:22.000000000;2000-04-08;2000-07-01
87;Shake Your Bon-Bon;Martin, Ricky;Latin;3:08;1999-11-20;2000-02-12;1;74;0:3:08;0 days 00:03:08.000000000;1999-11-20;2000-02-12
88;You're A God;Vertical Horizon;Rock;3:45;2000-08-26;2000-11-04;1;64;0:3:45;0 days 00:03:45.000000000;2000-08-26;2000-11-04
89;Separated;Avant;Rock;4:13;2000-04-29;2000-05-20;1;62;0:4:13;0 days 00:04:13.000000000;2000-04-29;2000-05-20
90;Big Deal;Rimes, LeAnn;Country;3:03;1999-10-16;2000-01-01;1;71;0:3:03;0 days 00:03:03.000000000;1999-10-16;2000-01-01
91;Stay The Night;IMx;Rap;3:37;1999-10-09;2000-01-08;1;84;0:3:37;0 days 00:03:37.000000000;1999-10-09;2000-01-08
92;The Next Episode;Dr. Dre;Rap;2:38;2000-05-27;2000-07-29;1;78;0:2:38;0 days 00:02:38.000000000;2000-05-27;2000-07-29
93;Lucky;Spears, Britney;Rock;3:23;2000-08-12;2000-09-09;1;61;0:3:23;0 days 00:03:23.000000000;2000-08-12;2000-09-09
94;Crash And Burn;Savage Garden;Rock;4:41;2000-04-08;2000-05-27;1;75;0:4:41;0 days 00:04:41.000000000;2000-04-08;2000-05-27
95;Don't Think I'm Not;Kandi;Rock;3:50;2000-08-05;2000-10-07;1;66;0:3:50;0 days 00:03:50.000000000;2000-08-05;2000-10-07
96;I Like It;Sammie;Rock;4:09;2000-01-29;2000-04-15;1;85;0:4:09;0 days 00:04:09.000000000;2000-01-29;2000-04-15
97;Broadway;Goo Goo Dolls;Rock;3:54;2000-04-22;2000-07-01;1;74;0:3:54;0 days 00:03:54.000000000;2000-04-22;2000-07-01
98;I Wanna Be With You;Moore, Mandy;Pop;4:12;2000-06-17;2000-08-12;1;69;0:4:12;0 days 00:04:12.000000000;2000-06-17;2000-08-12
99;Forgot About Dre;Dr. Dre;Rap;3:42;2000-01-22;2000-03-25;1;75;0:3:42;0 days 00:03:42.000000000;2000-01-22;2000-03-25
100;Untitled (How Does It Feel);D'Angelo;R&B;7:10;2000-01-22;2000-02-19;1;77;0:7:10;0 days 00:07:10.000000000;2000-01-22;2000-02-19
101;That's The Way;Messina, Jo Dee;Country;3:17;2000-06-24;2000-08-26;1;78;0:3:17;0 days 00:03:17.000000000;2000-06-24;2000-08-26
102;My First Love;Avant;Rock;4:28;2000-11-04;2000-12-16;1;70;0:4:28;0 days 00:04:28.000000000;2000-11-04;2000-12-16
103;A Puro Dolor (Purest Of Pain);Son By Four;Latin;3:30;2000-04-08;2000-08-19;1;80;0:3:30;0 days 00:03:30.000000000;2000-04-08;2000-08-19
104;What'Chu Like;Da Brat;Rap;3:57;2000-06-03;2000-08-12;1;71;0:3:57;0 days 00:03:57.000000000;2000-06-03;2000-08-12
105;Party Up (Up In Here);DMX;Rap;3:45;2000-02-26;2000-04-22;1;88;0:3:45;0 days 00:03:45.000000000;2000-02-26;2000-04-22
106;Cowboy Take Me Away;Dixie Chicks, The;Country;4:51;1999-11-27;2000-01-29;1;79;0:4:51;0 days 00:04:51.000000000;1999-11-27;2000-01-29
107;My Next Thirty Years;McGraw, Tim;Country;3:37;2000-10-21;2000-12-16;1;73;0:3:37;0 days 00:03:37.000000000;2000-10-21;2000-12-16
108;Best Of Intentions;Tritt, Travis;Country;4:15;2000-08-19;2000-12-02;1;97;0:4:15;0 days 00:04:15.000000000;2000-08-19;2000-12-02
109;Better Off Alone;Alice Deejay;Electronica;6:50;2000-04-08;2000-06-03;1;79;0:6:50;0 days 00:06:50.000000000;2000-04-08;2000-06-03
110;Another Dumb Blonde;Hoku;Pop;3:47;2000-02-19;2000-04-08;1;69;0:3:47;0 days 00:03:47.000000000;2000-02-19;2000-04-08
111;I Learned From The Best;Houston, Whitney;Rock;4:18;2000-02-19;2000-03-25;1;83;0:4:18;0 days 00:04:18.000000000;2000-02-19;2000-03-25
112;Hanginaround;Counting Crows;Rock;4:07;1999-11-06;2000-01-29;1;84;0:4:07;0 days 00:04:07.000000000;1999-11-06;2000-01-29
113;Shackles (Praise You);Mary Mary;Rock;3:12;2000-03-25;2000-05-13;1;90;0:3:12;0 days 00:03:12.000000000;2000-03-25;2000-05-13
114;Crybaby;Carey, Mariah;Rock;5:19;2000-06-24;2000-06-24;1;28;0:5:19;0 days 00:05:19.000000000;2000-06-24;2000-06-24
115;My Best Friend;McGraw, Tim;Country;4:33;1999-11-27;2000-01-29;1;85;0:4:33;0 days 00:04:33.000000000;1999-11-27;2000-01-29
116;Falls Apart;Sugar Ray;Rock;4:15;2000-01-15;2000-02-19;1;70;0:4:15;0 days 00:04:15.000000000;2000-01-15;2000-02-19
117;American Pie;Madonna;Rock;4:30;2000-02-19;2000-03-04;1;43;0:4:30;0 days 00:04:30.000000000;2000-02-19;2000-03-04
118;Where I Wanna Be;Jones, Donell;Rock;6:22;2000-04-22;2000-07-08;1;81;0:6:22;0 days 00:06:22.000000000;2000-04-22;2000-07-08
119;We Danced;Paisley, Brad;Country;3:45;2000-10-14;2000-12-16;1;71;0:3:45;0 days 00:03:45.000000000;2000-10-14;2000-12-16
120;What About Now;Lonestar;Country;3:30;2000-06-10;2000-08-19;1;78;0:3:30;0 days 00:03:30.000000000;2000-06-10;2000-08-19
121;The One;Backstreet Boys, The;Rock;3:46;2000-05-27;2000-07-01;1;58;0:3:46;0 days 00:03:46.000000000;2000-05-27;2000-07-01
122;How Do You Like Me Now?!;Keith, Toby;Country;3:29;2000-01-29;2000-04-08;1;77;0:3:29;0 days 00:03:29.000000000;2000-01-29;2000-04-08
123;The Best Day;Strait, George;Country;3:24;2000-01-29;2000-04-22;1;73;0:3:24;0 days 00:03:24.000000000;2000-01-29;2000-04-22
124;Without You;Dixie Chicks, The;Country;3:32;2000-10-07;2000-12-23;1;80;0:3:32;0 days 00:03:32.000000000;2000-10-07;2000-12-23
125;Just Friends (Sunny);Musiq;Rap;4:02;2000-10-14;2000-12-30;1;89;0:4:02;0 days 00:04:02.000000000;2000-10-14;2000-12-30
126;What Do You Say;McEntire, Reba;Country;3:26;1999-10-30;2000-01-29;1;88;0:3:26;0 days 00:03:26.000000000;1999-10-30;2000-01-29
127;Just Be A Man About It;Braxton, Toni;Rock;4:10;2000-07-29;2000-09-02;1;76;0:4:10;0 days 00:04:10.000000000;2000-07-29;2000-09-02
128;Rhythm Divine;Iglesias, Enrique;Latin;7:35;1999-12-04;2000-01-22;1;90;0:7:35;0 days 00:07:35.000000000;1999-12-04;2000-01-22
129;I Will Love Again;Fabian, Lara;Pop;3:43;2000-06-10;2000-08-12;1;91;0:3:43;0 days 00:03:43.000000000;2000-06-10;2000-08-12
130;It's My Life;Bon Jovi;Rock;3:44;2000-08-12;2000-09-30;1;64;0:3:44;0 days 00:03:44.000000000;2000-08-12;2000-09-30
131;Born To Fly;Evans, Sara;Country;5:36;2000-10-21;2000-12-30;1;77;0:5:36;0 days 00:05:36.000000000;2000-10-21;2000-12-30
132;I Lost It;Chesney, Kenny;Country;3:54;2000-10-21;2000-12-23;1;75;0:3:54;0 days 00:03:54.000000000;2000-10-21;2000-12-23
133;One Night Stand;J-Shin;R&B;4:34;1999-12-25;2000-02-26;1;96;0:4:34;0 days 00:04:34.000000000;1999-12-25;2000-02-26
134;Love Is Blind;Eve;Rap;3:51;2000-01-08;2000-02-19;1;94;0:3:51;0 days 00:03:51.000000000;2000-01-08;2000-02-19
135;I Don't Wanna;Aaliyah;Rock;4:15;2000-01-29;2000-03-04;1;84;0:4:15;0 days 00:04:15.000000000;2000-01-29;2000-03-04
136;The Little Girl;Montgomery, John Michael;Country;3:52;2000-09-09;2000-10-28;1;81;0:3:52;0 days 00:03:52.000000000;2000-09-09;2000-10-28
137;Aaron's Party (Come Get It);Carter, Aaron;R&B;3:23;2000-08-26;2000-09-16;1;99;0:3:23;0 days 00:03:23.000000000;2000-08-26;2000-09-16
138;Just Another Day In Paradise;Vassar, Phil;Country;3:54;2000-09-30;2000-12-02;1;81;0:3:54;0 days 00:03:54.000000000;2000-09-30;2000-12-02
139;You Can Do It;Ice Cube;Rap;4:20;1999-12-04;2000-01-15;1;86;0:4:20;0 days 00:04:20.000000000;1999-12-04;2000-01-15
140;Back At One;Wills, Mark;Country;4:00;2000-01-15;2000-02-26;1;89;0:4:00;0 days 00:04:00.000000000;2000-01-15;2000-02-26
141;Dance Tonight;Lucy Pearl;R&B;3:45;2000-05-20;2000-07-29;1;80;0:3:45;0 days 00:03:45.000000000;2000-05-20;2000-07-29
142;It Must Be Love;Jackson, Alan;Country;2:53;2000-06-24;2000-09-02;1;76;0:2:53;0 days 00:02:53.000000000;2000-06-24;2000-09-02
143;She's More;Griggs, Andy;Country;3:19;2000-03-11;2000-06-10;1;81;0:3:19;0 days 00:03:19.000000000;2000-03-11;2000-06-10
144;Simple Kind Of Life;No Doubt;Rock;4:11;2000-07-01;2000-07-22;1;50;0:4:11;0 days 00:04:11.000000000;2000-07-01;2000-07-22
145;911;Jean, Wyclef;Rap;4:00;2000-10-07;2000-11-25;1;77;0:4:00;0 days 00:04:00.000000000;2000-10-07;2000-11-25
146;Prayin' For Daylight;Rascal Flatts;Country;3:36;2000-05-06;2000-08-12;1;87;0:3:36;0 days 00:03:36.000000000;2000-05-06;2000-08-12
147;Graduation (Friends Forever);Vitamin C;Rock;4:23;2000-04-15;2000-06-10;1;81;0:4:23;0 days 00:04:23.000000000;2000-04-15;2000-06-10
148;One Voice;Gilman, Billy;Country;4:07;2000-06-17;2000-09-02;1;86;0:4:07;0 days 00:04:07.000000000;2000-06-17;2000-09-02
149;Smile;Lonestar;Country;3:33;1999-12-18;2000-02-12;1;89;0:3:33;0 days 00:03:33.000000000;1999-12-18;2000-02-12
150;Buy Me A Rose;Rogers, Kenny;Country;3:46;2000-03-11;2000-05-06;1;79;0:3:46;0 days 00:03:46.000000000;2000-03-11;2000-05-06
151;Lessons Learned;Lawrence, Tracy;Country;2:55;2000-01-29;2000-04-08;1;80;0:2:55;0 days 00:02:55.000000000;2000-01-29;2000-04-08
152;Go On;Strait, George;Country;3:48;2000-08-26;2000-10-28;1;71;0:3:48;0 days 00:03:48.000000000;2000-08-26;2000-10-28
153;Got To Get It;Sisqo;Rock;3:52;1999-11-20;2000-01-22;1;92;0:3:52;0 days 00:03:52.000000000;1999-11-20;2000-01-22
154;Who Let The Dogs Out;Baha Men;R&B;3:17;2000-07-22;2000-10-21;1;99;0:3:17;0 days 00:03:17.000000000;2000-07-22;2000-10-21
155;The Chain Of Love;Walker, Clay;Country;5:03;2000-04-15;2000-06-10;1;73;0:5:03;0 days 00:05:03.000000000;2000-04-15;2000-06-10
156;Love's The Only House;McBride, Martina;Country;5:13;2000-02-05;2000-04-15;1;79;0:5:13;0 days 00:05:13.000000000;2000-02-05;2000-04-15
157;Sexual (Li Da Di);Amber;Rock;4:38;1999-07-17;2000-02-12;1;99;0:4:38;0 days 00:04:38.000000000;1999-07-17;2000-02-12
158;Kiss This;Tippin, Aaron;Country;2:53;2000-08-26;2000-10-21;1;74;0:2:53;0 days 00:02:53.000000000;2000-08-26;2000-10-21
159;I Will.. But;SheDaisy;Country;3:40;2000-07-15;2000-09-16;1;78;0:3:40;0 days 00:03:40.000000000;2000-07-15;2000-09-16
160;Couldn't Last A Moment;Raye, Collin;Country;3:40;2000-03-18;2000-06-24;1;91;0:3:40;0 days 00:03:40.000000000;2000-03-18;2000-06-24
161;Whoa!;Black Rob;Rap;4:04;2000-03-04;2000-04-15;1;78;0:4:04;0 days 00:04:04.000000000;2000-03-04;2000-04-15
162;Pop A Top;Jackson, Alan;Country;3:04;1999-11-13;2000-01-22;1;79;0:3:04;0 days 00:03:04.000000000;1999-11-13;2000-01-22
163;Been There;Black, Clint;Country;5:28;2000-02-19;2000-04-15;1;87;0:5:28;0 days 00:05:28.000000000;2000-02-19;2000-04-15
164;The Light;Common;Rap;3:55;2000-08-05;2000-09-09;1;75;0:3:55;0 days 00:03:55.000000000;2000-08-05;2000-09-09
165;Carlene;Vassar, Phil;Country;4:07;2000-03-04;2000-04-22;1;75;0:4:07;0 days 00:04:07.000000000;2000-03-04;2000-04-22
166;www.memory;Jackson, Alan;Country;2:36;2000-11-04;2000-12-23;1;75;0:2:36;0 days 00:02:36.000000000;2000-11-04;2000-12-23
167;The Itch;Vitamin C;Rock;3:30;2000-12-02;2000-12-16;1;86;0:3:30;0 days 00:03:30.000000000;2000-12-02;2000-12-16
168;G'D Up;Eastsidaz, The;Rap;4:27;2000-01-08;2000-02-12;1;77;0:4:27;0 days 00:04:27.000000000;2000-01-08;2000-02-12
169;Whatever;Ideal;R&B;3:48;2000-06-10;2000-08-19;1;75;0:3:48;0 days 00:03:48.000000000;2000-06-10;2000-08-19
170;Emotional;Thomas, Carl;Rock;4:31;2000-11-25;2000-12-30;1;77;0:4:31;0 days 00:04:31.000000000;2000-11-25;2000-12-30
171;None Of Ur Friends Business;Ginuwine;Rock;4:12;1999-12-11;2000-01-22;1;94;0:4:12;0 days 00:04:12.000000000;1999-12-11;2000-01-22
172;Unconditional;Davidson, Clay;Country;3:56;2000-03-25;2000-06-17;1;97;0:3:56;0 days 00:03:56.000000000;2000-03-25;2000-06-17
173;What You Want;DMX;Rap;4:05;2000-07-01;2000-09-23;1;98;0:4:05;0 days 00:04:05.000000000;2000-07-01;2000-09-23
174;Someday Out Of The Blue;John, Elton;Rock;4:41;2000-04-22;2000-05-06;1;56;0:4:41;0 days 00:04:41.000000000;2000-04-22;2000-05-06
175;Nothing As It Seems;Pearl Jam;Rock;5:20;2000-05-13;2000-05-13;1;49;0:5:20;0 days 00:05:20.000000000;2000-05-13;2000-05-13
176;The Best Of Me;Mya;Rock;4:12;2000-04-15;2000-05-20;1;85;0:4:12;0 days 00:04:12.000000000;2000-04-15;2000-05-20
177;Flowers On The Wall;Heatherly, Eric;Country;3:16;2000-04-29;2000-08-12;1;95;0:3:16;0 days 00:03:16.000000000;2000-04-29;2000-08-12
178;Stan;Eminem;Rap;5:26;2000-11-04;2000-12-02;1;78;0:5:26;0 days 00:05:26.000000000;2000-11-04;2000-12-02
