;rating;title;year;director0;runtime;genres0;actor0;actor1;actor2;actor3;tagline;outline;genres1;genres2;genres3;director1;genres4;genres5;genres6
1616;5.2;Running Delilah;1993.0;Richard Franklin;5820.0;Sci-Fi;Kim Cattrall;Billy Zane;Fran\xe7ois Gu\xe9tary;Yorgo Voyagis;A secret agent is killed ... an invincible cybernetic agent is born.;Top agent Delilah dies in a risky mission against weapon dealer Kercharian. But she's revived with high-tech medicine and artificial body parts...;Thriller;;;;;;
1618;6.3;Magos y gigantes;2003.0;Andr\xe9s Couturier;4980.0;Adventure;Rossy Aguirre;Francisco Colmenero;Miguel Couturier;Eduardo Garza;;Magos y Gigantes tells the story of Gigante, a vertically challenged giant, Ada, a fairy who's wings have yet to blossom and Trafalgar...;Animation;Comedy;;Eduardo Sprowls;;;
1619;6.0;Time Travelers;1976.0;Alexander Singer;4680.0;Adventure;Sam Groom;Tom Hallick;Francine York;Booth Colman;;During an outbreak of a contagious disease in 1976, two scientists are sent back in time to 1871, when a Chicago doctor apparently had the cure for it.;Sci-Fi;Thriller;;;;;
1624;6.1;Tell It to a Star;1945.0;Frank McDonald;4020.0;Musical;Ruth Terry;Robert Livingston;Alan Mowbray;Franklin Pangborn;;"A smooth-talking old ""colonel"" finagles his way into luxurious living and tries to smooth the path for his lovely and talented niece as well.";Romance;;;;;;
1625;6.3;Haiwan;1977.0;Ram Rano;;Musical;Deb Mukherjee;Joy Mukherjee;Ram Mukherjee;Toy Mukherjee;;A maniac serial killer on the prowl, hunting assorted nubile lasses. A mentally unstable ex-army officer who is an utter misogynist. Are they the same man?;Thriller;;;;;;
1626;5.4;Triplecross;1995.0;Jen\xf6 Hodi;5700.0;Action;Michael Par\xe9;Billy Dee Williams;Ashley Laurence;Patrick Bergin;Honour Amongst Thieves Is A Deadly Illusion;T.C. Cooper is sprung from prison by Oscar Pierce, an F.B.I. agent, and given a task: take down master thief Jimmy Ray Danker. He accepts, but neither man expected the plan's single complication: Julia Summers, Jimmy Ray's lover.;Crime;Romance;Thriller;;;;
1643;5.8;Too Late to Love;1959.0;Henri Decoin;6000.0;Drama;Mich\xe8le Morgan;Henri Vidal;Francis Blanche;Marc Cassot;;In a small town where he is waiting for his train, reporter-photographer Walter Hermelin meets Catherine Ferrer...;;;;;;;
1656;7.6;Picnic at Hanging Rock;1975.0;Peter Weir;6900.0;Drama;Rachel Roberts;Anne-Louise Lambert;Vivean Gray;Helen Morse;Australia's First International Hit! [Video Australia];During a rural picnic, a few students and a teacher from an Australian girls' school vanish without a trace. Their absence frustrates and haunts the people left behind.;Mystery;;;;;;
1663;7.6;Rob Roy;1922.0;W.P. Kellino;;Adventure;David Hawthorne;Gladys Jennings;Simeon Stuart;Wallace Bosco;;A clan chief seeks revenge on the jealous Duke who outlawed him.;;;;;;;
1671;7.3;A Step Out of Line;1971.0;Bernard McEveety;5760.0;Drama;Peter Falk;Vic Morrow;Peter Lawford;Jo Ann Pflug;;Three financially down-and-out buddies plot to pull a bank robbery to cure their financial woes.;;;;;;;
1674;6.2;Spirit of Youth;1938.0;Harry L. Fraser;3960.0;Biography;Joe Louis;Clarence Muse;Edna Mae Harris;Mae Turner;;The story of the rise of boxer Joe Thomas, which paralleled the life of Joe Louis.;Drama;Sport;;;;;
1677;6.0;Madrid en el año 2000;1925.0;Manuel Noriega;;Sci-Fi;Roberto Rey;Javier de Rivera;Amalia Sanz Cruzado;Roberto Iglesias;Madrid have a canal to the sea! Dream or reality?;A fantasy depicting Madrid in the distant (for 1925) future when the city has become a port thanks to...;;;;;;;
1682;7.4;Wrony;1994.0;Dorota Kedzierzawska;3960.0;Drama;Karolina Ostrozna;Katarzyna Szczepanik;Malgorzata Hajewska;Anna Prucnal;;"A thin child of about 10, nicknamed ""Crow"" because she mimics the bird, has no friends and rejects a teacher's hug...";;;;;;;
1685;7.1;The Chess Player;1927.0;Raymond Bernard;8100.0;Drama;Pierre Blanchar;Charles Dullin;\xc9dith J\xe9hanne;Camille Bert;;In 1776, an inventor conceals a Polish nobleman in his chess-playing automaton, a machine whose fame leads it to the court of the Russian empress.;Fantasy;;;;;;
1692;6.1;The Aquarians;1970.0;Don McDougall;6000.0;Action;Ricardo Montalban;Jos\xe9 Ferrer;Leslie Nielsen;Chris Robinson;;A scientist and his team of underwater explorers search for the culprit who has stolen the world's supply of nerve gas and hidden it somewhere in the ocean.;Adventure;Thriller;Drama;;;;
1694;2.8;Loyal Opposition;1998.0;Mark Sobel;7200.0;Action;Joan Van Ark;Nick Mancuso;Rick Springfield;Lloyd Bochner;;When a terrorist surfaces, the Chairman of the Joint Chief urges the President for military response...;Drama;Thriller;;;;;
1695;6.3;This Angry Age;1957.0;Ren\xe9 Cl\xe9ment;6000.0;Drama;Silvana Mangano;Anthony Perkins;Richard Conte;Jo Van Fleet;A New Kind of Man-Woman Typhoon Sweeps the Screen!;During the 1950s, in French Indochina, the Dufresne family struggles to survive amid harsh economic times and natural disasters.;;;;;;;
1696;5.7;The Castle of Cloads;1970.0;Sakari Rimminen;5340.0;Comedy;Meri Oravisto;Erik Uddstr\xf6m;Ritva Laatto;Raiku Kemppi;;Teenager Erik returns from Paris to Finland in a rowboat and is accosted by a gang of youths in the countryside...;Drama;;;;;;
1698;5.9;Love in Paradise;1985.0;Michel Lemoine;5700.0;Adult;Christoph Clark;Michelle Davy;\xc9ric Dray;Christopher Gil;;When the car breaks down a smuggling adventure turns into an orgy.;;;;;;;
1699;5.2;Black as Hell, Strong as Death, Sweet as Love;1998.0;Caelum Vatnsdal;4860.0;;;;;;;;;;;;;;
1701;5.3;Gli imbroglioni;1963.0;Lucio Fulci;5880.0;Drama;Jos\xe9 Luis L\xf3pez V\xe1zquez;Pietro De Vico;Raimondo Vianello;Aroldo Tieri;;A day in a tribunal where the defendants are: the manager of a soccer team, charged with bribery, two...;;;;;;;
1705;5.1;Complot;1999.0;Ra\xfal Garc\xeda;6960.0;Action;Ricardo V\xe1zquez;Yamaris Latorre;Manolo Castro;Laura Hern\xe1ndez;;At the dawn of the new milennium, allied nations computer sistems could collapse because of the year...;;;;;;;
1711;7.5;Legends of the Fall;1994.0;Edward Zwick;7980.0;Drama;Brad Pitt;Anthony Hopkins;Aidan Quinn;Julia Ormond;He was a rock they broke themselves against however much he tried to protect them;Epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, love and betrayal.;Romance;War;Western;;;;
1720;6.5;Shanghai Madness;1933.0;John G. Blystone;4080.0;Drama;Spencer Tracy;Fay Wray;Ralph Morgan;Eugene Pallette;"""WHO CARES FOR THE FUTURE...THERE IS NONE IN SHANGHAI"" (original ad - all caps)";In the 1920s Pat Jackson destroys a Chinese post and is discharged from the Navy. Li Po Chang hires him to run a gunboat up the river...;;;;;;;
1731;7.3;A Day of My Life;1961.0;Atef Salem;;Musical;Abdel Halim Hafez;Zubaida Tharwat;Abdel Salam Al Nabulsy;Mahmoud El-Meliguy;;An unexpected love affair quickly blossoms between aspiring down-on-his-luck reporter Salah (Abdel Halim...;Romance;;;;;;
1739;;A Fair Impostor;1916.0;Alexander Butler;;Drama;Madge Titheradge;Gerald McCarthy;Charles Rock;Alice De Winton;;A Lord's daughter learns a maid is her sister and poses as her to usurp her inheritance.;;;;;;;
1740;4.4;C'è un fantasma nel mio letto;1981.0;Claudio Giorgi;5640.0;Comedy;Lilli Carati;Renzo Montagnani;Vincenzo Crocitti;Vanessa Hidalgo;;A couple (Carati and Crocitti) has to rent a hotel room which is really a haunted house. Well, haunted is overstating it...;;;;;;;
1741;4.0;Red Hot Zorro;1972.0;Gilbert Roussel;5100.0;Adventure;Jean-Michel Dhermay;Evelyne Scott;Alice Arno;Roger Darton;;A soft-core sex farce using the Zorro legend as an excuse for countless lusty exploits. Jean-Michel...;Western;;;;;;
1742;3.8;Rockmania;1986.0;Adnor Pitanga;5040.0;Musical;Monique Alves;Roberto Bomtempo;J\xfalio Braga;Jo\xe3o Elias;;The rock singer Duda forces his record label to make a video-clip in Cabo Frio to release his new album...;;;;;;;
1744;6.5;Hanussen;1955.0;O.W. Fischer;5700.0;Drama;O.W. Fischer;Liselotte Pulver;Erni Mangold;Maria Dominique;;In Germany during World War II, a well-known psychic decides to collaborate with the Nazis.;;;;Georg Marischka;;;
1748;8.5;The Pianist;2002.0;Roman Polanski;9000.0;Biography;Adrien Brody;Thomas Kretschmann;Frank Finlay;Emilia Fox;Music was his passion. Survival was his masterpiece.;A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.;Drama;History;War;;;;
1751;7.1;The Child and the Soldier;2000.0;Reza Mirkarimi;5400.0;Drama;Mehdi Lotfi;Rohalah Hosseyni;Afarin Obeisi;Mehran Rajabi;;On New Year's Eve, a young soldier is looking forward to going home but is given orders to escort a juvenile delinquent to a distant reformatory. He sets off with the child handcuffed to him.;;;;;;;
1755;5.1;Bogard;1974.0;Timothy Galfas;5580.0;Action;Richard Lawson;Annazette Chase;Philip Michael Thomas;Robert Burr;You Know Where He's Comin' From!;To make money, a Los Angeles street-fighter goes to work for gangsters.;Crime;;;Richard Kaye;;;
1758;6.7;Overland Mail Robbery;1943.0;John English;3360.0;Western;Bill Elliott;Gabby;Anne Jeffreys;Alice Fleming;;The Patterson's are after the Hartley's share of the stage line. They kill Jim Hartley but their attempt on Tom Hartley is foiled by Elliott...;;;;;;;
1759;6.0;Forbidden Valley;1938.0;Wyndham Gittens;4080.0;Action;Noah Beery Jr.;Frances Robinson;Robert Barrat;Fred Kohler;HISS BULLS-EYE SIX SHOOTER SPAT FLAMING LAW FOR PRAIRIE RATS! (original poster - all caps);Ring Hazzard, a young man raised to manhood in a secret canyon by his father, a fugitive from a false murder charge...;Romance;Western;;;;;
1760;5.6;Naomi;1993.0;Toshiki Sat\xf4;3300.0;;;;;;;;;;;;;;
1764;8.0;Aguirre, the Wrath of God;1972.0;Werner Herzog;5580.0;Adventure;Klaus Kinski;Ruy Guerra;Helena Rojo;Del Negro;On this river, God never finished his creation.;In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.;Drama;History;;;;;
1765;1.6;Compelling Evidence;1995.0;Donald Farmer;5160.0;Thriller;Brigitte Nielsen;Danny Fendley;Dana Plato;Melissa Moore;;Rick Stone is the world's biggest action star but unfortunately, he is also the prime suspect in his wife's death...;;;;;;;
1768;6.9;The Belles of St. Trinian's;1954.0;Frank Launder;5460.0;Comedy;Alastair Sim;Joyce Grenfell;George Cole;Hermione Baddeley;;These schoolgirls are more interested in racing forms than books as they try to get-rich-quick. They are abetted by the head-mistress' brother, played by Alastair Sim, who also plays the head-mistress.;;;;;;;
1773;5.6;Decay;1998.0;Jason Robert Stephens;4800.0;Thriller;Tamara Davies;Raymond Storti;Brian Brock;Ron von Gober;When you make an enemy.....know who he is! [USA];A dentist's wife conspires the murder of her husband. The murder is carried out by a twisted serial killer that stalks and kills exotic women...;Mystery;Drama;Horror;;Action;Crime;
1788;7.3;A Dream for Christmas;1973.0;Ralph Senensky;7200.0;Drama;Hari Rhodes;Beah Richards;Lynn Hamilton;George Spell;;A Southern minister is assigned to a poor church in California where the congregation is drifting away and the church itself is scheduled for demolition.;;;;;;;
1813;7.0;High Strung;1991.0;Roger Nygard;5580.0;Comedy;Steve Oedekerk;Thomas F. Wilson;Denise Crosby;Fred Willard;The story of a guy with a few too many hang-ups.;Thane Furrows, an extremely cynical but unintentionally hilarious children's book writer, wakes up one morning...;;;;;;;
1816;8.3;Wycieczka w nieznane;1968.0;Jerzy Ziarnik;4560.0;Drama;Malgorzata Braunek;Ryszard Filipski;Janusz Guttner;Emilia Krakowska;;A man remembers being in a concentration camp.;Romance;;;;;;
1821;4.9;Pornographie suédoise;1976.0;Jean Desvilles;5460.0;Adult;Jacques Insermini;Chantal Arnaud;Eva Khris;Philippe Bellet;;Ulla and Ingrid arrive in Paris from their cold villages in Sweden. They advertise their services as au-pair girls...;;;;;;;
1824;6.5;Fidel;2002.0;David Attwood;12360.0;Biography;V\xedctor Huggo Martin;Gael Garc\xeda Bernal;Patricia Velasquez;Cecilia Su\xe1rez;He fought for freedom. He settled for power.;Fidel Castro rises to power in Cuba.;Drama;;;;;;
1832;6.6;The Sky's the Limit;1943.0;Edward H. Griffith;5340.0;Comedy;Fred Astaire;Joan Leslie;Robert Benchley;Robert Ryan;Here's a thrill, new and gay! It's a dance filled holiday!;Flying Tiger Fred Atwell sneaks away from his famous squadron's personal appearance tour and goes incognito for several days of leave...;Musical;Romance;;;;;
1836;6.9;The Broken Cord;1992.0;Ken Olin;5520.0;Drama;Jimmy Smits;Kim Delaney;Michael Spears;Fredrick Leader-Charge;;David Norwell, an anthropology professor, wants to adopt a child even though he is single. He is finally...;;;;;;;
1843;6.7;Rebecca's Daughters;1992.0;Karl Francis;5760.0;Comedy;"Toole"" (u";Paul Rhys;Joely Richardson;Dafydd Hywel;;The film is set in Wales and concerns itself with the aristocracy who are taxing to common people to ruin...;;;;;;;
1845;7.1;Wee Geordie;1955.0;Frank Launder;5580.0;Comedy;Bill Travers;Alastair Sim;Paul Young;Norah Gorsen;A Giant Among Comedies;Geordie is a Scots lad sent to the Melbourne Olympics to represent Britain in Hammer-Throwing. He insists on wearing his kilt...;Drama;Romance;Sport;;;;
1864;;Second Bureau;1935.0;Pierre Billon;6300.0;Drama;Jean Murat;V\xe9ra Kor\xe8ne;Pierre Alcover;Henry Bonvallet;;Captain Benoît manages to take possession of the plans of a new German airplane. The German counter-espionage assigns one of their agents, beautiful Erna Fiedler, to seduce Benoît and to eliminate him. But the two spies fall in love.;Romance;;;;;;
1872;6.4;Cow Country;1953.0;Lesley Selander;4920.0;Western;"Brien"" (u";Helen Westcott;Robert Lowery;Barton MacLane;Badmen gave her a name that the Panhandle spoke only through gunsmoke!;Rancher v Land Grabbers = Trouble.;;;;;;;
1875;6.0;The 49th Man;1953.0;Fred F. Sears;4380.0;Action;John Ireland;Richard Denning;Suzanne Dalbert;Robert Foulk;48 CAUGHT IN ENEMY AGENT ROUND-UP...BUT THE 49TH HAS THE A-BOMB...and it's set to explode on U.S.soil! (original poster);U.S.Security Investigation Division chief Paul Reagan (Richard Denning) assigns John Williams (John Ireland)...;Crime;Drama;Film-Noir;;Thriller;;
1878;6.9;Troy & Julie;2001.0;Phil Gorn;;Action;Terry Wayne;Ava Mendoza;West Liang;Feodor Chin;Two gangs, two families, one love.;SF movingly explores the family conflicts, racial hatreds and gang loyalties that torment the lovers as they flee from the police and struggle to honorably resolve their plight.;Drama;;;;;;
1881;5.2;Committed;2000.0;Lisa Krueger;5880.0;Comedy;Heather Graham;Casey Affleck;Luke Wilson;Goran Visnjic;She'll get what she wants...no matter what it takes!;A young woman goes in search of her midlife crisis suffering husband who left her.;Drama;;;;;;
1883;5.7;Frisco Lil;1942.0;Erle C. Kenton;3600.0;Drama;Irene Hervey;Kent Taylor;Minor Watson;Jerome Cowan;FRISCO LIL'S BACK AGAIN... And What A Back!;Lil becomes a dealer in a gambling casino in order to get the information she needs to clear her father of a murder charge. She also falls in love with lawyer Brewster.;;;;;;;
1888;5.9;La voie est libre;1998.0;St\xe9phane Clavier;5280.0;Comedy;Fran\xe7ois Cluzet;Philippine Leroy-Beaulieu;Emma de Caunes;\xc9ric Caravaca;;Jules is upset. The minister of transportation ignores his letters, so, on the day the minister is in Lyons to reopen a rail line...;;;;;;;
1890;7.0;Lawman;1971.0;Michael Winner;5940.0;Western;Burt Lancaster;Robert Ryan;Lee J. Cobb;Robert Duvall;He gave the West justice right up to its neck... then rammed more down its throat.;A lawman from Bannock arrives in Sabbath to arrest all the cattlemen whose wild celebration the year before resulted in the accidental death of an old man.;;;;;;;
1904;5.7;Under Texas Skies;1930.0;J.P. McGowan;3060.0;Western;Bob Custer;Natalie Kingston;Bill Cody;Tom London;;Three cowboys try to stop a crook from defrauding an orphan girl out of her money.;;;;;;;
1910;6.7;A Mother Should Be Loved;1934.0;Yasujir\xf4 Ozu;5580.0;Drama;Y\xfbkichi Iwata;Mitsuko Yoshikawa;Den Obinata;Seiichi Kat\xf4;;Two half-brothers try to cope with the loss of their father.;;;;;;;
1913;;Chalk Marks;1924.0;John G. Adolfi;;;;;;;;;;;;;;;
1924;7.0;O Amuleto de Ogum;1974.0;Nelson Pereira dos Santos;6720.0;Drama;Ney Santanna;Anecy Rocha;Joffre Soares;Maria Ribeiro;;To entertain some thieves, a blind guitar player tells them the story of a man from the Northeast of Brazil...;;;;;;;
1928;5.8;Mark of the Tortoise;1964.0;Alfred Vohrer;5400.0;Crime;Hildegard Knef;G\xf6tz George;Richard M\xfcnch;Heinz Reincke;;"The nephew of a murdered millionaire decides to track down his uncle's killer. He faces many life-threatening dangers as he tries to break into the inner circle of the sinister criminal ""The Tortoise.""";Action;Thriller;;;;;
1933;6.7;Undo;1994.0;Shunji Iwai;2820.0;Drama;Etsushi Toyokawa;Tomoko Yamaguchi;Tomorowo Taguchi;;Let's start over again...;Moemi is not overly pleased when Yukio brings home a couple of turtles to keep her company. Although Yukio works at home as a writer...;Romance;;;;;;
1934;7.2;Amistad;1997.0;Steven Spielberg;9300.0;Drama;Djimon Hounsou;Matthew McConaughey;Anthony Hopkins;Morgan Freeman;A true story.;About a 1839 mutiny aboard a slave ship that is traveling towards the northeastern coast of America. Much of the story involves a court-room drama about the free man who led the revolt.;History;;;;;;
1937;7.7;The Invisible Man;1933.0;James Whale;4260.0;Horror;Claude Rains;Gloria Stuart;William Harrigan;Henry Travers;Catch me if you can!;A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.;Sci-Fi;;;;;;
1941;;Stubborn;1963.0;Kang-won Lee;;Drama;Jang-kang Heo;Geum-bong Do;Jeong-sun Hwang;Hye-suk Bok;;A man is punished by the gods for his unforgiving nature;;;;;;;
1947;7.0;Blackout;1940.0;Michael Powell;4800.0;Adventure;Conrad Veidt;Valerie Hobson;Hay Petrie;Joss Ambler;Stop that man and woman! His mission is deadlier than that of the enemy in the sky. Her beauty is a dangerous weapon of war!;Early in World War II, Danish sea captain Andersen, delayed in a British port, tangles with German spies.;Romance;;;;;;
1961;2.8;The Giant Spider Invasion;1975.0;Bill Rebane;5040.0;Horror;Steve Brodie;Barbara Hale;Robert Easton;Leslie Parrish;Creeping!...Crawling!...Crushing!;Giant spiders from another dimension invade Wisconsin.;Sci-Fi;;;;;;
1963;7.1;Vent d'est;1993.0;Robert Enrico;6600.0;Drama;Malcolm McDowell;Pierre Vaneck;Jean-Fran\xe7ois Balmer;Ludmila Mika\xebl;;The true story of General Smyslovsky and the anti-Communist 1st Russian National Army receiving shelter in Liechtenstein in 1945 and successfully resisting Soviet pressure to be returned for execution in the USSR.;;;;;;;
1965;5.2;Sweet Kill;1972.0;Curtis Hanson;5100.0;Horror;Tab Hunter;Cherie Latimer;Nadyne Turney;Isabel Jewell;They take on all comers!;"Horror and suspense in the story of a psychotic maniac who literally ""loves"" women to death.";Thriller;;;;;;
1966;8.8;The Grey Mare;1994.0;Aribam Syam Sharma;5280.0;Drama;Devan;Dhiren;Kiranmala;J. Sushila;;Sakhi is a divorced woman who is a dancer at the State Dance Academy. One day, a thief falls in love with her after seeing her performance and in order to gain her attention he steals her horse.;;;;;;;
1972;;Oh, Lady, Lady;1920.0;Maurice Campbell;3000.0;Comedy;Bebe Daniels;Harrison Ford;Walter Hiers;Charlotte Woods;;"A silent film version of the Kern-Bolton-Wodehouse ""Princess Theatre"" musical.";Romance;;;;;;
1977;5.3;She Hate Me;2004.0;Spike Lee;8280.0;Comedy;Anthony Mackie;Kerry Washington;Ellen Barkin;Monica Bellucci;One heterosexual male. 18 lesbians. His fee $10,000... each.;Fired from his job for exposing corrupt business practices, a former biotech executive turns to impregnating wealthy lesbians for profit.;Drama;;;;;;
1978;6.4;Olympic Fever;1981.0;Phillip Marshak;4800.0;Adult;Serena;Seka;Paul Thomas;Laurie Smith;Get It From the Source;A struggling Olympic swimmer uses a special dietary supplement to improve her performance, drawing the attention of the Russian team.;Comedy;Drama;;;;;
1984;7.6;The Whistle at Eaton Falls;1951.0;Robert Siodmak;5760.0;Drama;Lloyd Bridges;Dorothy Gish;Carleton Carpenter;Murray Hamilton;The picture that tells the truth about it!;Brad Adams is the new manager of a manufacturing plant in a small New Hampshire town. He is brought in by owner Mrs. Doubleday to calm labor relations plus layoff employees. Brad manages to also find romance.;;;;;;;
1993;5.2;The Purse Snatcher;1995.0;Maria Peters;5760.0;Drama;Olivier Tuinier;Aus Greidanus Jr.;Micha Hulshof;Myranda Jongeling;;Alex is very close to his elderly grandmother partly because his busy parents seem to have little or no time for him...;Family;Thriller;;;;;
1997;;Unseeing Eyes;1923.0;Edward H. Griffith;5400.0;Adventure;Lionel Barrymore;Seena Owen;Louis Wolheim;Gustav von Seyffertitz;;The sister of a silver mine owner hires a renegade pilot to fly her to her brother's rescue.;Drama;;;;;;
2003;5.6;Any Place But Home;1997.0;Rob Hedden;5520.0;Action;Joe Lando;Dale Midkiff;Mary Page Keller;Cristi Conaway;;A businessman's son is kidnappped, but the kidnapper's sister-in-law and her husband are opposed to the plan...;Drama;Sport;Thriller;;;;
2004;5.8;Stolen Miracle;2001.0;Norma Bailey;5400.0;Crime;Leslie Hope;Nola Augustson;Gabriel Hogan;Marnie McPhail;Protect what you value most.;Karen and Phil's first male child is stolen by a false nurse on Christmas' Eve. A determined policewoman follows all clues in order to find the baby before it's too late.;Drama;;;;;;
2006;6.1;Man Accused;1959.0;Montgomery Tully;3480.0;Drama;Ronald Howard;Carol Marsh;Ian Fleming;Catherina Ferraz;;Just after he has become engaged to a baronet's daughter, Bob Jenson is arrested for robbery and murder. He breaks jail, tracks down the real criminals and hands them over to the authorities.;;;;;;;
2010;5.9;The Unholy Garden;1931.0;George Fitzmaurice;4440.0;Drama;Ronald Colman;Fay Wray;Estelle Taylor;Warren Hymer;"A GREAT STAR'S GREATER ACHIEVEMENT! Here is the Colman you knew in ""CONDEMNED""... The Colman who startled you in ""BULLDOG DRUMMOND""... Now giving you the thrill of a lifetime in a sensational story of sinners, sirens and strange adventure.";At a hotel in the middle of the Sahara Desert, an old man and his beautiful daughter try to keep the...;Romance;;;;;;
2015;5.9;Una vacanza all'inferno;1997.0;Tonino Valerii;6240.0;Drama;Marco Leonardi;F. Murray Abraham;Giancarlo Giannini;Mirca Viola;;Italian man unknowingly becomes a drug mule and gets arrested in Thailand. He is sent to tough prison where he plans escape with the help of another prisoner who also has a score to settle with the drug dealer who set the Italian up.;;;;;;;
2034;6.6;Maisie;1939.0;Edwin L. Marin;4500.0;Comedy;Robert Young;Ann Sothern;Ruth Hussey;Ian Hunter;"HERE'S OUR GUARANTEE! ""Maisie is the surprise picture of the season!"" It is one of the things that happen in Hollywood...the once in a ""blue moon"" mixture of happy players, a good story, a clever director...and the answer is...EXCELLENT ENTERTAINMENT! A GRAND GAL...Everybody's crazy about...! ""MAISIE""";Stranded, penniless in a small Wyoming town, Maisie Ravier flirts with Slim, the manager of Clifford Ames' ranch...;Drama;;;;;;
2036;6.1;Godzilla and Mothra: The Battle for Earth;1992.0;Takao Okawara;6000.0;Adventure;Tetsuya Bessho;Satomi Kobayashi;Takehiro Murata;Sabur\xf4 Shinoda;;In the midst of another rampage by Godzilla, Mothra emerges to save the human race from Battra.;Fantasy;Sci-Fi;;;;;
2037;;Absent;1928.0;Harry A. Gant;;;;;;;;;;;;;;;
2042;7.1;Hochelaga;2000.0;Michel Jett\xe9;7800.0;Drama;Dominic Darceuil;David Boutin;Ronald Houle;Jean-Nicolas Verreault;Where gangblood runs but colors don't;After an unpleasant run-in with a group of bikers, a young convenience store robber (Marc) gets approached...;Crime;;;;;;
2045;6.0;Sweet Music;1935.0;Alfred E. Green;6000.0;Musical;Rudy Vallee;Ann Dvorak;Ned Sparks;Helen Morgan;;"College band-leader ""Skip"" Houston keeps his band together after graduation, they turn professional...";Romance;;;;;;
2051;5.3;Immortal Sins;1991.0;Herv\xe9 Hachuel;4800.0;Horror;Cliff De Young;"Abo"" (u";Shari Shattuck;Tony Isbert;;Michael Alvarez and his wife Susan have inherited an ancient Spanish castle, unaware that it comes with a horrendous curse...;Thriller;;;;;;
2056;5.5;The Choirboys;1977.0;Robert Aldrich;7140.0;Comedy;Charles Durning;Louis Gossett Jr.;Perry King;Clyde Kusatsu;Don't look for these guys in church.;A group of Los Angeles cops decide to take off some of the pressures of their jobs by engaging in various forms of after-hours debauchery.;Crime;Drama;;;;;
