;rating;title;year;director0;runtime;genres0;genres1;actor0;actor1;actor2;actor3;tagline;outline;genres2;genres3;director1;genres4;genres5
292;6.5;Let's Scare Jessica to Death;1971.0;John D. Hancock;5340.0;Drama;Fantasy;Zohra Lampert;Barton Heyman;"Connor"" (u";Gretchen Corbett;Something is after Jessica. Something very cold, very wet... and very dead...;A recently institutionalized woman has bizarre experiences after moving into a supposedly haunted country farmhouse and fears she may be losing her sanity once again.;Horror;Mystery;;;
294;5.7;Si mian xia wa;1996.0;Kwok-Leung Gan;6000.0;Drama;;Fai-Hung Chan;Ping Ha;Eric Kot;Jan Lamb;;Made up of four short stories. One, a lonely hooker can't stop crying whenever she has sex with her clients...;;;Eric Kot;;
295;;The Rainbow Coloured Disco Dancer;1983.0;Edward Joffe;;;;;;;;;;;;;;
298;5.8;Girl in His Pocket;1957.0;Pierre Kast;4920.0;Comedy;Fantasy;Jean Marais;Genevi\xe8ve Page;Jean-Claude Brialy;Agn\xe8s Laurent;;A professor experimenting in suspended animation accidentally shrinks his dog and later, his female lab assistant...;;;;;
302;6.5;Cover Up;1949.0;Alfred E. Green;4920.0;Mystery;;William Bendix;"Keefe"" (u";Barbara Britton;Art Baker;Love Is Like Murder... when you're in... you're in deep!;An insurance company investigator goes to a small town to probe into a case of supposed suicide. The natives are not very cooperative and some turn hostile, leading to suspicion of foul play.;;;;;
309;5.7;Scalpers;2000.0;Adam Rodin;5040.0;Comedy;;Steve Braun;Seun Olagunju;Jeff Skinner;Rachel Toles;Fast Talk.  Fast Cash.;Who needs two? Who needs tickets? Scalpers, following Joey Grey, a newcomer fighting for his place in the territorial ticket trade.;;;;;
321;5.7;D'Ye Ken John Peel?;1935.0;Henry Edwards;3600.0;Adventure;Drama;John Garrick;Winifred Shotter;Stanley Holloway;John Stuart;;Major John Peel returns to England, following Napoleon's Waterloo defeat, and renews his acquaintance with Lucy Merrall...;Romance;;;;
322;;Scars of Hate;1923.0;Harry Moody;;Western;;Jack Livingston;;;;;An Arizona rancher on a trip to New York falls in love with and marries a wealthy New York society girl...;;;;;
325;4.6;Perro rabioso;1990.0;Francisco Outon;4680.0;Action;Crime;Sergio Goyri;Bruno Rey;Agust\xedn Bernal;Paco Pharrez;;A squad led by Rodrigo Mascarena (Sergio Goyri) commit crimes and robberies that seriously affect the...;Drama;;;;
326;3.6;The Day My Parents Ran Away;1993.0;Martin Nicholson;5760.0;Comedy;;Matt Frewer;Robert Jayne;Brigid Brannagh;Seth Green;A Comedy Where Parental Guidance Is Not Required.;An irresponsible teen examines his life after his fed-up parents leave him to fend for himself.;;;;;
330;;Vetri;1984.0;S.A. Chandrashekhar;540.0;Musical;;Pandharibai;P.S. Veerappa;;;;Vetri follows the story of a boy who is frustrated with the failures in his life, so much that he decides to undertake a 'Guide To Success' course that will promise him a brighter, better future. A comedy feel-good short film.;;;;;
331;;Alf's Button;1930.0;W.P. Kellino;5760.0;Comedy;Fantasy;Tubby Edlin;Alf Goddard;Nora Swinburne;Polly Ward;;A soldier discovers a button made from Aladdin's lamp grants wishes when rubbed.;;;;;
335;6.7;The Disciple;1915.0;William S. Hart;3000.0;Western;;William S. Hart;Dorothy Dalton;Thelma Salter;Robert McKim;;"Jim Houston, the ""Shootin' Iron"" Parson, comes to Barren Gulch to reform the morals of the frontier community...";;;;;
342;6.5;Killing Zoe;1993.0;Roger Avary;5760.0;Crime;Thriller;Eric Stoltz;Julie Delpy;Martin Raymond;Eric Pascal Chaltiel;;Zed has only just arrived in the beautiful Paris and already he's up to no good. Having just slept with a call girl...;;;;;
346;4.7;Amor Maldito;1984.0;Ad\xe9lia Sampaio;4560.0;Drama;;Neuza Amaral;S\xe9rgio Ascoly;Jalusa Barcelos;Catalina Bonakie;;Two young women with different social backgrounds have a lesbian relationship. The real problems begin when one of them also gets involved with a man, a journalist.;;;;;
348;;Crossroads;1972.0;Won-se Lee;5400.0;Drama;Romance;Yeong-gyun Shin;Jeong-hie Yun;Gye-hyeon Jeon;;;A psychologist becomes involved in an unprofessional relationship with a schizophrenic patient.;;;;;
350;7.1;Beane's of Boston;1979.0;Jerry Paris;;Comedy;;John Hillerman;Charlotte Rae;Alan Sues;"Hanlon Jr."" (u";;"This is the unreleased pilot episode for an American version of the beloved and long-running British comedy ""Are You Being Served?""";;;;;
353;7.9;Lava Kusa;1963.0;Rao C.S.R.;;Drama;Family;Taraka Rama Rao Nandamuri;Anjali Devi;Chittor V. Nagaiah;Kanta Rao;;This movie deals with the later part of Ramayana written by Valmiki Maharshi and depicts the lives of the sons of Rama & Sita.;Musical;;Chittajalu Pullayya;;
357;5.6;If... Dog... Rabbit;1999.0;Matthew Modine;6480.0;Crime;Drama;Matthew Modine;David Keith;John Hurt;Maggie Weatherly;Armed robbery is the family business.;Johnnie Cooper served time for an armed robbery that his father and brother also participated in. When he's released from jail...;Thriller;;;;
360;6.9;Smart Money;1931.0;Alfred E. Green;4860.0;Crime;Drama;Edward G. Robinson;James Cagney;Evalyn Knapp;Ralf Harolde;;Immigrant Greek barber has uncommon skills in playing poker and soon rises in the seedy world of illegal gambling, but pretty blondes remain his Achilles' heel.;;;;;
369;6.9;Abu el Banat;1973.0;Mosh\xe9 Mizrahi;6000.0;Comedy;Drama;Shaike Ophir;Zaharira Harifai;Joseph Shiloach;Michal Bat-Adam;;A man with eight daughters, and no hope of an heir, takes a mistress to console himself. He finally consults a magician who gives him a list of instructions on how to make a son. Soon his wife is pregnant again.;;;;;
372;6.2;Desiree;1984.0;Felix de Rooy;5760.0;Drama;;Marianne Rolle;Dan Strayhorn;Cynthia Belgrave;Joanne Jacobson;;Set in Brooklyn, New York this Dutch film is based on a true story that appeared on a New York newspaper in 1980...;;;;;
374;6.4;Raiders in the Sky;1953.0;Philip Leacock;5760.0;Drama;Romance;Dirk Bogarde;Ian Hunter;Dinah Sheridan;Bryan Forbes;;War drama about the dangerous and stressful work of Lancaster bomber British crews during WW2.;War;;;;
382;4.3;Night Eyes;1990.0;Jag Mundhra;5820.0;Drama;Thriller;Andrew Stevens;Tanya Roberts;Cooper Huckabee;Veronica Henson-Phillips;He was hired to watch, now he's tempted to touch.;A security guard is hired to gather evidence of adultery against the wife of the rock star and ends up getting involved with her.;;;;;
386;5.2;Deep Throat;1972.0;Gerard Damiano;3660.0;Adult;Comedy;Linda Lovelace;Harry Reems;Dolly Sharp;Bill Harrison;How far does a girl have to go to untangle her tingle?;A woman with an unusual birth defect comes to a doctor who has an unorthodox solution to make the best of her situation.;;;;;
393;6.2;The Ghost;1963.0;Riccardo Freda;5820.0;Horror;;Barbara Steele;Peter Baldwin;Elio Jotta;Harriet Medin;The Black Sign of Death Is On This House!;A woman and her lover murder her husband, a doctor. Soon, however, strange things start happening, and they wonder if they really killed him, or if he is coming back from the dead to haunt them.;;;;;
408;5.2;Servants of Twilight;1991.0;Jeffrey Obrow;5700.0;Horror;Thriller;Bruce Greenwood;Jarrett Lennon;Belinda Bauer;Grace Zabriskie;;Based on the novel by Dean R. Koontz, this action packed thriller features Bruce Greenwood as a private...;;;;;
421;6.0;Défense de savoir;1973.0;Nadine Trintignant;5940.0;Crime;Drama;Jean-Louis Trintignant;Michel Bouquet;Charles Denner;Juliet Berto;;When the police find Simone seated near her husband's corpse it is predictable that she is charged with the murder...;Thriller;;;;
429;;King B: A Life in the Movies;1993.0;Mike Valerio;;;;;;;;;;;;;;
434;5.3;Fish and Elephant;2001.0;Yu Li;6360.0;Romance;;Yi Pan;Tou Shi;Pengcheng So;Wei;;Two women, Qun and Ling, have a peaceful and loving relationship. But Qun's mother arrive to pay a visit and...;;;;;
452;6.1;Almost Salinas;2001.0;Terry Green;5520.0;Comedy;Drama;John Mahoney;Linda Emond;Lindsay Crouse;Virginia Madsen;Some lives must be lived in the shadow of a legend.;A story about a man trying to overcome mistakes and past events in his life.;Mystery;;;;
469;6.8;The Arizonian;1935.0;Charles Vidor;4500.0;Adventure;Music;Richard Dix;Margot Grahame;Preston Foster;Louis Calhern;"Hear Margot Grahame sing that rousing song of the trail, ""Roll Along, Covered Wagon!";In a film where the leading character is a composite of several American-frontier lawmen (mostly Wyatt Earp,) Clay Tallant comes to Silver City...;Romance;Western;;;
477;;Devil's Dice;1926.0;Tom Forman;;Adventure;Romance;Barbara Bedford;Robert Ellis;Josef Swickard;Tom B. Forman;;A romance, started during World War I in France, between an American soldier and a French girl, finds its climax a few years later in an American mining town.;War;;;;
480;5.7;The Walls of Freedom;1978.0;Marianne Ahrne;6060.0;;;;;;;;;;;;;
493;7.7;The Little Dolphins;1993.0;Dinos Dimopoulos;5880.0;Comedy;Drama;Konstadina Alevra;Konstantina Andriopoulou;Lambros Bavetas;Giannis Dimothodoros;;Set in the period between the two world wars in a seaside village in the bay of Amvrakikos. Two children...;Family;;;;
498;6.1;Wild in the Streets;1968.0;Barry Shear;5820.0;Comedy;Drama;Christopher Jones;Shelley Winters;Diane Varsi;Hal Holbrook;If you're thirty, you're through!;A young man gains significant political influence as the leader of a counterculture rock band with his rallying cry of voting rights for teenagers.;Music;;;;
504;6.5;Street Corner;1948.0;Albert H. Kelley;4380.0;Drama;;Joseph Crehan;Marcia Mae Jones;Jean Fenwick;Don Brodie;She Couldn't Tell Her Mother What She Dared Tell Her Friend!;Naive small-town girl gets pregnant on her prom night, and winds up in the clutches of the local abortionist.;;;;;
505;4.2;Tub Race;1898.0;;;;;;;;;;;;;;;
